label,class_idx,total,field,lab
abies_concolor,0,251,51,200
acer_negundo,1,229,33,196
acer_palmatum,2,212,92,120
acer_rubrum,3,297,45,252
aesculus_pavi,4,225,101,124
asimina_triloba,5,249,49,200
broussonettia_papyrifera,6,287,54,233
carya_cordiformis,7,200,52,148
catalpa_bignonioides,8,217,45,172
cercis_canadensis,9,216,44,172
chionanthus_virginicus,10,68,45,23
cryptomeria_japonica,11,212,132,80
diospyros_virginiana,12,248,48,200
fraxinus_nigra,13,205,85,120
gleditsia_triacanthos,14,198,46,152
ilex_opaca,15,244,28,216
juglans_cinerea,16,217,97,120
liriodendron_tulipifera,17,235,51,184
maclura_pomifera,18,448,24,424
ostrya_virginiana,19,209,25,184
prunus_sargentii,20,288,168,120
prunus_virginiana,21,303,183,120
ptelea_trifoliata,22,270,50,220
quercus_montana,23,247,59,188
quercus_muehlenbergii,24,226,106,120
staphylea_trifolia,25,213,45,168
styrax_japonica,26,228,108,120
ulmus_americana,27,215,15,200
ulmus_pumila,28,265,145,120
ulmus_rubra,29,317,49,268
