split,label,count
train,abies_concolor,175
train,acer_negundo,162
train,acer_palmatum,147
train,acer_rubrum,209
train,aesculus_pavi,157
train,asimina_triloba,177
train,broussonettia_papyrifera,201
train,carya_cordiformis,142
train,catalpa_bignonioides,152
train,cercis_canadensis,150
train,chionanthus_virginicus,48
train,cryptomeria_japonica,148
train,diospyros_virginiana,173
train,fraxinus_nigra,143
train,gleditsia_triacanthos,139
train,ilex_opaca,172
train,juglans_cinerea,152
train,liriodendron_tulipifera,164
train,maclura_pomifera,314
train,ostrya_virginiana,146
train,prunus_sargentii,201
train,prunus_virginiana,213
train,ptelea_trifoliata,188
train,quercus_montana,173
train,quercus_muehlenbergii,158
train,staphylea_trifolia,150
train,styrax_japonica,160
train,ulmus_americana,150
train,ulmus_pumila,185
train,ulmus_rubra,221
val,abies_concolor,37
val,acer_negundo,35
val,acer_palmatum,34
val,acer_rubrum,44
val,aesculus_pavi,36
val,asimina_triloba,36
val,broussonettia_papyrifera,45
val,carya_cordiformis,29
val,catalpa_bignonioides,33
val,cercis_canadensis,33
val,chionanthus_virginicus,10
val,cryptomeria_japonica,32
val,diospyros_virginiana,37
val,fraxinus_nigra,32
val,gleditsia_triacanthos,30
val,ilex_opaca,37
val,juglans_cinerea,33
val,liriodendron_tulipifera,36
val,maclura_pomifera,67
val,ostrya_virginiana,30
val,prunus_sargentii,45
val,prunus_virginiana,45
val,ptelea_trifoliata,40
val,quercus_montana,37
val,quercus_muehlenbergii,34
val,staphylea_trifolia,32
val,styrax_japonica,35
val,ulmus_americana,33
val,ulmus_pumila,40
val,ulmus_rubra,47
test,abies_concolor,39
test,acer_negundo,32
test,acer_palmatum,31
test,acer_rubrum,44
test,aesculus_pavi,32
test,asimina_triloba,36
test,broussonettia_papyrifera,41
test,carya_cordiformis,29
test,catalpa_bignonioides,32
test,cercis_canadensis,33
test,chionanthus_virginicus,10
test,cryptomeria_japonica,32
test,diospyros_virginiana,38
test,fraxinus_nigra,30
test,gleditsia_triacanthos,29
test,ilex_opaca,35
test,juglans_cinerea,32
test,liriodendron_tulipifera,35
test,maclura_pomifera,67
test,ostrya_virginiana,33
test,prunus_sargentii,42
test,prunus_virginiana,45
test,ptelea_trifoliata,42
test,quercus_montana,37
test,quercus_muehlenbergii,34
test,staphylea_trifolia,31
test,styrax_japonica,33
test,ulmus_americana,32
test,ulmus_pumila,40
test,ulmus_rubra,49
