class_idx,label,total,lab,field
0,abies_concolor,250,200,50
1,acer_negundo,229,196,33
2,acer_palmatum,212,120,92
3,acer_rubrum,297,252,45
4,aesculus_pavi,225,124,101
5,asimina_triloba,249,200,49
6,broussonettia_papyrifera,294,240,54
7,carya_cordiformis,200,148,52
8,catalpa_bignonioides,217,172,45
9,cercis_canadensis,216,172,44
10,chionanthus_virginicus,217,172,45
11,cryptomeria_japonica,146,80,66
12,diospyros_virginiana,248,200,48
13,fraxinus_nigra,205,120,85
14,gleditsia_triacanthos,198,152,46
15,ilex_opaca,244,216,28
16,juglans_cinerea,217,120,97
17,liriodendron_tulipifera,235,184,51
18,maclura_pomifera,236,212,24
19,ostrya_virginiana,209,184,25
20,prunus_sargentii,156,120,36
21,prunus_virginiana,258,120,138
22,ptelea_trifoliata,270,220,50
23,quercus_montana,240,188,52
24,quercus_muehlenbergii,120,120,0
25,staphylea_trifolia,213,168,45
26,styrax_japonica,228,120,108
27,ulmus_americana,215,200,15
28,ulmus_pumila,196,120,76
29,ulmus_rubra,317,268,49
