epoch,train_loss,train_top1,val_loss,val_top1,val_top5,val_macro_f1,learning_rate,epoch_time_seconds,feature_learning_rate,classifier_learning_rate
1,0.7544301561932549,0.7801013941698353,0.43554025025283755,0.8679060665362035,0.9882583170254403,0.8708822270711262,1e-05,40.29685735702515,1e-05,0.0001
2,0.3370521608590576,0.9131812420785805,0.3155694319893936,0.901174168297456,0.9980430528375733,0.9035082519511884,9.890738003669029e-06,34.88324475288391,9.890738003669029e-06,9.890738003669029e-05
3,0.25164034725947876,0.934305027460921,0.2775826578970758,0.9158512720156555,0.9980430528375733,0.9183168117374441,9.567727288213005e-06,34.3998658657074,9.567727288213005e-06,9.567727288213005e-05
4,0.20532822679141224,0.949936628643853,0.24810539416371027,0.9266144814090019,0.99706457925636,0.9288028971683268,9.045084971874738e-06,34.340325117111206,9.045084971874738e-06,9.045084971874738e-05
5,0.18610155368385106,0.9522602450359104,0.22141747313702875,0.9354207436399217,0.9980430528375733,0.9365011801930976,8.345653031794292e-06,34.614667892456055,8.345653031794292e-06,8.345653031794292e-05
6,0.15981440767362542,0.9571187156738488,0.21910639734184206,0.9383561643835616,0.9980430528375733,0.9399063018138272,7.5e-06,37.62991189956665,7.5e-06,7.500000000000001e-05
7,0.1559471923890978,0.9566962399662019,0.19964908932403108,0.9422700587084148,0.9990215264187867,0.9434816841122871,6.545084971874738e-06,35.89460349082947,6.545084971874738e-06,6.545084971874738e-05
8,0.1350866334633229,0.9681030840726659,0.19216828418571189,0.9442270058708415,1.0,0.9451334486436029,5.522642316338269e-06,35.548030376434326,5.522642316338269e-06,5.522642316338269e-05
9,0.1299166776897739,0.966624419095902,0.18531692243835465,0.9393346379647749,1.0,0.9403126659476477,4.477357683661735e-06,35.128453493118286,4.477357683661735e-06,4.4773576836617344e-05
10,0.12437185532416177,0.9689480354879595,0.18793070619586863,0.9383561643835616,0.9990215264187867,0.9396197185976518,3.4549150281252644e-06,33.00205373764038,3.4549150281252644e-06,3.454915028125264e-05
11,0.12892280469589915,0.9670468948035488,0.18163684526651572,0.9481409001956947,0.9990215264187867,0.9496746771922965,2.500000000000002e-06,33.447789907455444,2.500000000000002e-06,2.5000000000000018e-05
12,0.126881838266639,0.9668356569497254,0.17825549348109856,0.9452054794520548,0.9990215264187867,0.9461118784848116,1.654346968205711e-06,33.48319983482361,1.654346968205711e-06,1.654346968205711e-05
13,0.11359549801675489,0.9706379383185467,0.1717138540021594,0.949119373776908,1.0,0.9497076686835328,9.549150281252635e-07,33.61650824546814,9.549150281252635e-07,9.549150281252635e-06
14,0.11972403392529357,0.9695817490494296,0.17544864777132957,0.949119373776908,0.9990215264187867,0.9503165956993412,4.3227271178699523e-07,33.60138988494873,4.3227271178699523e-07,4.322727117869952e-06
15,0.12073179925852906,0.9678918462188424,0.1792363237786433,0.9461839530332681,0.9980430528375733,0.9469861892503405,1.092619963309716e-07,33.28328466415405,1.092619963309716e-07,1.092619963309716e-06
