model,brightness_factor,num_samples,accuracy,macro_f1,weighted_f1,top5_accuracy,lab_accuracy,lab_macro_f1,field_accuracy,field_macro_f1,elapsed_seconds,accuracy_change_from_clean
Baseline-CustomCNN,0.6,1001,0.5004995004995005,0.4711354993754578,0.46761423418315073,0.8621378621378621,0.5368421052631579,0.5029260897369404,0.38589211618257263,0.31495017139004544,15.402732083108276,-0.3036963036963036
Baseline-CustomCNN,0.8,1001,0.6973026973026973,0.6988678512212304,0.6883801179229847,0.971028971028971,0.725,0.7206549440128419,0.6099585062240664,0.5421818716576049,15.062765417154878,-0.10689310689310683
Baseline-CustomCNN,1.0,1001,0.8041958041958042,0.8084226379216316,0.8009440608922775,0.986013986013986,0.8263157894736842,0.8262930656594804,0.7344398340248963,0.6919636411535346,13.476717624813318,0.0
Baseline-CustomCNN,1.2,1001,0.7842157842157842,0.7869434414391602,0.7805568367307508,0.981018981018981,0.8039473684210526,0.8055048536769632,0.7219917012448133,0.6834656366217456,15.901964500080794,-0.01998001998001997
Baseline-CustomCNN,1.4,1001,0.6843156843156843,0.6820839622542354,0.6749756030638905,0.9370629370629371,0.7078947368421052,0.7016610743389029,0.6099585062240664,0.5404116721468765,15.82528220792301,-0.11988011988011982
MobileNetV2-Partial,0.6,1001,0.9200799200799201,0.9236371739709576,0.9208687960701794,0.998001998001998,0.9184210526315789,0.9219523259623748,0.9253112033195021,0.9182012307199715,29.52832212508656,-0.017982017982017928
MobileNetV2-Partial,0.8,1001,0.935064935064935,0.9375639911269424,0.935397215307243,0.999000999000999,0.9276315789473685,0.9278946040868838,0.9585062240663901,0.9585750775405949,29.516658375039697,-0.0029970029970030065
MobileNetV2-Partial,1.0,1001,0.938061938061938,0.9398947574498098,0.9380901325997346,1.0,0.9302631578947368,0.9302289295417773,0.9626556016597511,0.9644466393651763,27.269984625047073,0.0
MobileNetV2-Partial,1.2,1001,0.926073926073926,0.9307496028082849,0.9269909961728097,0.998001998001998,0.9184210526315789,0.9215456288886521,0.950207468879668,0.9525232179589963,30.995357833104208,-0.011988011988012026
MobileNetV2-Partial,1.4,1001,0.9100899100899101,0.9144623450710024,0.9100179893098055,0.996003996003996,0.9052631578947369,0.9064735020746149,0.9253112033195021,0.9327486054810927,30.312773833051324,-0.027972027972027913
ResNet18-Layer4,0.6,1001,0.9460539460539461,0.9495728760395205,0.9460608268713822,0.997002997002997,0.9473684210526315,0.9516306270614658,0.941908713692946,0.9247264980431948,19.251897000009194,-0.02397602397602394
ResNet18-Layer4,0.8,1001,0.9590409590409591,0.9612354446527254,0.9590899782483631,0.997002997002997,0.9592105263157895,0.9615905781301177,0.9585062240663901,0.9510989895881002,18.71852520806715,-0.01098901098901095
ResNet18-Layer4,1.0,1001,0.97002997002997,0.9713801638982732,0.9701149656686772,0.998001998001998,0.9736842105263158,0.9752927046460329,0.9585062240663901,0.949919709098475,17.63658362510614,0.0
ResNet18-Layer4,1.2,1001,0.967032967032967,0.9679498728541929,0.9672125232640458,0.998001998001998,0.9697368421052631,0.9727045635643478,0.9585062240663901,0.9531985566876674,20.101405167020857,-0.0029970029970030065
ResNet18-Layer4,1.4,1001,0.945054945054945,0.9464604844480704,0.9454853980560145,0.998001998001998,0.9460526315789474,0.9490788222580306,0.941908713692946,0.938537909390278,19.873442250071093,-0.024975024975025018
