model,class_idx,class_name,precision,recall,f1,support
Baseline-CustomCNN,0,abies_concolor,1.0,1.0,1.0,37
Baseline-CustomCNN,1,acer_negundo,0.9375,0.9375,0.9375,32
Baseline-CustomCNN,2,acer_palmatum,0.8333333333333334,1.0,0.9090909090909091,30
Baseline-CustomCNN,3,acer_rubrum,0.851063829787234,0.8695652173913043,0.8602150537634409,46
Baseline-CustomCNN,4,aesculus_pavi,0.9230769230769231,0.7058823529411765,0.8000000000000002,34
Baseline-CustomCNN,5,asimina_triloba,0.8181818181818182,0.6923076923076923,0.7500000000000001,39
Baseline-CustomCNN,6,broussonettia_papyrifera,0.9166666666666666,0.75,0.8250000000000001,44
Baseline-CustomCNN,7,carya_cordiformis,0.9259259259259259,0.8333333333333334,0.8771929824561403,30
Baseline-CustomCNN,8,catalpa_bignonioides,0.875,0.6774193548387096,0.7636363636363636,31
Baseline-CustomCNN,9,cercis_canadensis,0.8571428571428571,1.0,0.923076923076923,30
Baseline-CustomCNN,10,chionanthus_virginicus,0.85,0.5,0.6296296296296295,34
Baseline-CustomCNN,11,cryptomeria_japonica,1.0,1.0,1.0,23
Baseline-CustomCNN,12,diospyros_virginiana,0.603448275862069,0.9210526315789473,0.7291666666666666,38
Baseline-CustomCNN,13,fraxinus_nigra,0.7096774193548387,0.7586206896551724,0.7333333333333333,29
Baseline-CustomCNN,14,gleditsia_triacanthos,1.0,1.0,1.0,30
Baseline-CustomCNN,15,ilex_opaca,0.7954545454545454,0.9722222222222222,0.875,36
Baseline-CustomCNN,16,juglans_cinerea,0.7714285714285715,0.84375,0.8059701492537314,32
Baseline-CustomCNN,17,liriodendron_tulipifera,0.8571428571428571,0.8823529411764706,0.8695652173913043,34
Baseline-CustomCNN,18,maclura_pomifera,0.6744186046511628,0.8529411764705882,0.7532467532467532,34
Baseline-CustomCNN,19,ostrya_virginiana,0.5769230769230769,0.4838709677419355,0.5263157894736842,31
Baseline-CustomCNN,20,prunus_sargentii,0.9,0.8181818181818182,0.8571428571428572,22
Baseline-CustomCNN,21,prunus_virginiana,0.717391304347826,0.8918918918918919,0.7951807228915664,37
Baseline-CustomCNN,22,ptelea_trifoliata,1.0,0.8974358974358975,0.945945945945946,39
Baseline-CustomCNN,23,quercus_montana,1.0,0.8823529411764706,0.9375,34
Baseline-CustomCNN,24,quercus_muehlenbergii,1.0,1.0,1.0,16
Baseline-CustomCNN,25,staphylea_trifolia,0.7837837837837838,0.90625,0.8405797101449275,32
Baseline-CustomCNN,26,styrax_japonica,0.65625,0.5833333333333334,0.6176470588235293,36
Baseline-CustomCNN,27,ulmus_americana,0.4074074074074074,0.34375,0.37288135593220334,32
Baseline-CustomCNN,28,ulmus_pumila,0.6097560975609756,0.8333333333333334,0.7042253521126761,30
Baseline-CustomCNN,29,ulmus_rubra,0.6923076923076923,0.5510204081632653,0.6136363636363635,49
MobileNetV2-Partial,0,abies_concolor,1.0,1.0,1.0,37
MobileNetV2-Partial,1,acer_negundo,0.9142857142857143,1.0,0.955223880597015,32
MobileNetV2-Partial,2,acer_palmatum,0.967741935483871,1.0,0.9836065573770492,30
MobileNetV2-Partial,3,acer_rubrum,0.9574468085106383,0.9782608695652174,0.967741935483871,46
MobileNetV2-Partial,4,aesculus_pavi,1.0,0.9411764705882353,0.9696969696969697,34
MobileNetV2-Partial,5,asimina_triloba,1.0,0.8974358974358975,0.945945945945946,39
MobileNetV2-Partial,6,broussonettia_papyrifera,0.9772727272727273,0.9772727272727273,0.9772727272727273,44
MobileNetV2-Partial,7,carya_cordiformis,0.9354838709677419,0.9666666666666667,0.9508196721311476,30
