class_idx,class_name,precision,recall,f1,support
0,abies_concolor,1.0,1.0,1.0,37
1,acer_negundo,1.0,1.0,1.0,32
2,acer_palmatum,0.967741935483871,1.0,0.9836065573770492,30
3,acer_rubrum,1.0,1.0,1.0,46
4,aesculus_pavi,0.9705882352941176,0.9705882352941176,0.9705882352941176,34
5,asimina_triloba,1.0,0.9230769230769231,0.9600000000000001,39
6,broussonettia_papyrifera,0.9565217391304348,1.0,0.9777777777777777,44
7,carya_cordiformis,1.0,1.0,1.0,30
8,catalpa_bignonioides,1.0,0.967741935483871,0.9836065573770492,31
9,cercis_canadensis,0.967741935483871,1.0,0.9836065573770492,30
10,chionanthus_virginicus,0.9705882352941176,0.9705882352941176,0.9705882352941176,34
11,cryptomeria_japonica,1.0,1.0,1.0,23
12,diospyros_virginiana,0.8809523809523809,0.9736842105263158,0.925,38
13,fraxinus_nigra,1.0,0.9655172413793104,0.9824561403508771,29
14,gleditsia_triacanthos,1.0,1.0,1.0,30
15,ilex_opaca,0.972972972972973,1.0,0.9863013698630138,36
16,juglans_cinerea,0.96875,0.96875,0.96875,32
17,liriodendron_tulipifera,0.9705882352941176,0.9705882352941176,0.9705882352941176,34
18,maclura_pomifera,0.9696969696969697,0.9411764705882353,0.955223880597015,34
19,ostrya_virginiana,0.8611111111111112,1.0,0.9253731343283582,31
20,prunus_sargentii,1.0,0.9545454545454546,0.9767441860465117,22
21,prunus_virginiana,1.0,1.0,1.0,37
22,ptelea_trifoliata,1.0,0.9743589743589743,0.9870129870129869,39
23,quercus_montana,1.0,1.0,1.0,34
24,quercus_muehlenbergii,1.0,1.0,1.0,16
25,staphylea_trifolia,1.0,0.9375,0.967741935483871,32
26,styrax_japonica,0.918918918918919,0.9444444444444444,0.9315068493150684,36
27,ulmus_americana,0.8709677419354839,0.84375,0.8571428571428571,32
28,ulmus_pumila,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
29,ulmus_rubra,0.9777777777777777,0.8979591836734694,0.9361702127659575,49
